Category,Hours
NO,236
OP,325
NO,578
OP,578
NO,367
OP,371
NO,195
OP,253
NO,318
OP,614
NO,376
NO,713
OP,495
NO,129
OP,359
NO,396
OP,492
NO,407
OP,454
NO,458
OP,235
NO,8
NO,198
OP,290
NO,303
OP,601
NO,525
OP,610
NO,412
OP,751
NO,166
OP,266
NO,586
OP,532
NO,207
OP,436
NO,273
OP,406
NO,286
OP,820
NO,261
OP,947
NO,385
OP,232
NO,169
OP,481
NO,360
OP,234
NO,228
OP,133
NO,549
OP,365
NO,463
OP,411
NO,201
OP,458
NO,268
OP,535
NO,488
OP,545
NO,339
OP,441
NO,213
OP,443
NO,233
OP,279
NO,419
OP,571
NO,763
OP,295
NO,160
OP,248
NO,456
OP,438
NO,117
OP,215
NO,492
OP,349
NO,238
OP,298
NO,204
OP,314
NO,255
OP,373
NO,124
OP,774
NO,264
OP,474
NO,324
OP,266
NO,118
OP,506
NO,495
OP,766
NO,684
NO,440
OP,189
NO,289
OP,211
NO,466
OP,434
NO,350
OP,500
NO,216
OP,88
NO,192
OP,320
NO,162
OP,188
NO,313
OP,44
NO,201
OP,861
NO,180
OP,220
NO,212
OP,276
NO,110
OP,8
NO,237
OP,231
NO,467
OP,417
NO,603
OP,491
NO,152
OP,652
NO,10
OP,8
NO,254
OP,409
NO,176
OP,744
NO,233
OP,415
NO,332
OP,278
NO,385
OP,471
NO,197
OP,299
NO,259
OP,317
NO,357
OP,834
NO,1042
OP,34
NO,296
OP,371
NO,317
OP,433
NO,288
OP,64
NO,218
OP,230
NO,285
OP,527
NO,359
OP,635
NO,541
OP,467
NO,290
OP,507
NO,414
OP,582
NO,696
OP,155
NO,246
OP,196
NO,481
OP,386
NO,196
OP,348
NO,253
OP,973
NO,319
OP,487
NO,315
OP,427
NO,167
OP,349
NO,512
OP,533
NO,307
OP,660
NO,423
OP,515
NO,381
OP,740
NO,244
OP,447
NO,509
OP,630
NO,565
OP,275
NO,613
OP,337
NO,409
OP,550
NO,24
OP,32
NO,361
OP,500
NO,457
OP,557
NO,386
OP,513
NO,370
OP,597
NO,246
OP,359
NO,218
OP,376
NO,377
OP,566
NO,498
OP,771
NO,319
OP,375
NO,440
OP,350
NO,297
OP,525
NO,364
OP,191
NO,408
OP,294
NO,161
OP,319
NO,178
OP,406
NO,334
OP,540
NO,252
OP,244
NO,392
OP,391
NO,108
OP,43
NO,168
OP,144
NO,273
OP,155
NO,354
OP,648
NO,222
OP,564
NO,195
OP,261
NO,556
OP,504
NO,507
OP,689
NO,306
OP,141
NO,355
OP,563
NO,346
OP,365
NO,308
OP,521
NO,363
OP,638
NO,476
OP,270
NO,220
OP,377
NO,238
OP,483
NO,228
OP,346
NO,145
OP,113
NO,217
OP,110
NO,355
OP,434
NO,331
OP,224
NO,579
OP,293
NO,325
OP,399
NO,165
OP,628
NO,235
OP,508
NO,281
OP,513
NO,119
OP,88
NO,381
OP,521
NO,261
OP,315
NO,244
OP,876
NO,192
OP,291
NO,325
OP,564
NO,350
OP,396
NO,665
OP,323
NO,285
OP,244
NO,319
OP,577
NO,227
OP,778
NO,481
OP,526
NO,258
OP,12
NO,170
OP,420
NO,419
OP,560
NO,201
OP,489
NO,491
OP,285
NO,395
OP,315
NO,225
OP,342
NO,244
OP,261
NO,53
OP,78
NO,308
OP,522
NO,210
OP,587
NO,226
OP,278
NO,177
OP,293
NO,274
OP,344
NO,308
OP,480
NO,269
OP,238
NO,214
OP,306
NO,368
OP,160
NO,244
OP,276
NO,571
OP,464
NO,233
OP,120
NO,222
OP,348
NO,251
OP,326
NO,428
OP,63
NO,256
OP,581
NO,104
OP,240
NO,333
OP,301
NO,144
OP,298
NO,493
OP,608
NO,169
OP,268
NO,261
OP,386
NO,291
OP,142
NO,72
NO,234
OP,295
NO,289
OP,713
NO,209
OP,258
NO,304
OP,673
NO,297
OP,445
NO,601
OP,736
NO,237
OP,798
NO,129
OP,68
NO,253
OP,834
NO,298
OP,301
NO,369
OP,186
NO,288
OP,634
NO,320
OP,176
NO,293
OP,602
NO,393
OP,622
NO,369
OP,461
NO,437
OP,555
NO,320
OP,316
NO,545
OP,579
NO,255
OP,250
NO,411
OP,520
NO,387
OP,3
NO,373
OP,293
NO,298
OP,136
NO,521
OP,422
NO,294
OP,813
NO,258
OP,463
NO,256
OP,144
NO,524
OP,533
NO,412
OP,572
NO,251
OP,311
NO,552
OP,734
NO,182
OP,306
NO,543
OP,386
NO,188
OP,173
NO,194
OP,571
NO,201
OP,446
NO,219
OP,403
NO,182
OP,262
NO,177
OP,382
NO,169
OP,361
NO,297
OP,366
NO,128
OP,523
NO,581
OP,283
NO,446
OP,372
NO,263
OP,635
NO,249
OP,314
NO,171
OP,269
NO,412
OP,266
NO,337
OP,444
NO,421
OP,349
NO,523
OP,524
NO,190
OP,605
NO,800
OP,351
NO,337
OP,556
NO,16
NO,375
OP,555
NO,245
OP,664
NO,277
OP,415
NO,281
OP,529
NO,373
OP,707
NO,162
OP,325
NO,286
OP,308
NO,230
OP,503
NO,341
OP,317
NO,278
OP,176
NO,183
OP,249
NO,107
OP,109
NO,769
OP,685
NO,306
OP,267
NO,434
OP,502
NO,253
OP,326
NO,177
OP,295
NO,156
OP,157
NO,389
OP,635
NO,407
OP,819
NO,70
OP,26
NO,393
OP,253
NO,95
OP,79
NO,381
OP,172
NO,534
OP,764
NO,211
OP,371
NO,315
OP,490
NO,232
OP,352
NO,315
OP,356
NO,122
OP,136
NO,175
OP,337
NO,324
OP,347
NO,265
OP,528
NO,281
OP,606
NO,245
OP,832
NO,374
OP,184
NO,359
OP,772
NO,131
OP,397
NO,1007
NO,363
OP,410
NO,407
OP,581
NO,288
OP,645
NO,148
OP,267
NO,439
OP,394
NO,299
OP,700
NO,344
OP,354
NO,200
OP,191
NO,489
OP,345
NO,54
OP,92
NO,466
OP,391
NO,343
OP,517
NO,134
NO,647
NO,204
OP,307
NO,428
OP,484
NO,231
OP,410
NO,250
OP,359
NO,458
OP,654
NO,94
OP,426
NO,590
OP,436
NO,378
OP,574
NO,311
OP,1017
NO,384
OP,136
NO,575
OP,515
NO,358
OP,547
NO,286
OP,242
NO,205
OP,295
NO,531
OP,520
NO,399
OP,663
NO,510
OP,392
NO,294
OP,555
NO,793
OP,197
NO,489
OP,463
NO,239
OP,244
NO,421
OP,408
NO,340
OP,753
NO,501
OP,79
NO,387
OP,367
NO,193
OP,385
NO,455
OP,369
NO,70
OP,26
NO,448
OP,574
NO,324
OP,439
NO,366
OP,284
NO,200
OP,453
NO,607
OP,245
NO,510
OP,627
NO,242
OP,613
NO,163
OP,62
NO,296
OP,328
NO,210
OP,361
NO,251
OP,269
NO,263
OP,289
NO,349
OP,692
NO,132
OP,229
NO,370
OP,551
NO,268
OP,232
NO,252
OP,483
NO,515
OP,812
NO,675
NO,331
OP,775
NO,356
OP,277
NO,533
OP,783
NO,152
OP,108
NO,321
OP,949
NO,240
OP,589
NO,331
OP,605
NO,257
OP,611
NO,238
OP,338
NO,222
OP,628
NO,365
OP,865
NO,210
OP,762
NO,437
OP,362
NO,206
OP,391
NO,304
OP,613
NO,145
OP,476
NO,306
OP,482
NO,418
OP,496
NO,166
OP,291
NO,176
OP,289
NO,236
OP,208
NO,116
OP,317
NO,220
OP,515
NO,175
OP,421
NO,359
OP,393
NO,315
OP,931
NO,400
OP,653
NO,514
OP,525
NO,161
OP,195
NO,138
OP,387
NO,326
OP,906
NO,248
OP,345
NO,305
OP,392
NO,551
OP,386
NO,201
OP,247
NO,223
OP,662
NO,346
OP,539
NO,317
OP,526
NO,352
OP,320
NO,149
OP,466
NO,136
OP,244
NO,651
OP,261
NO,179
OP,253
NO,422
OP,790
NO,457
OP,1055
NO,20
OP,7
NO,403
OP,318
NO,384
OP,126
NO,291
OP,722
NO,423
OP,478
NO,491
OP,260
NO,260
OP,379
NO,651
OP,513
NO,291
OP,358
NO,290
OP,447
NO,582
OP,494
NO,374
OP,351
NO,224
OP,128
NO,285
OP,569
NO,273
OP,658
NO,219
OP,412
NO,316
OP,51
NO,462
OP,704
NO,241
OP,120
NO,223
OP,319
NO,88
OP,204
NO,321
OP,612
NO,206
OP,149
NO,1049
NO,230
OP,314
NO,568
OP,243
NO,248
NO,583
OP,798
NO,8
NO,484
OP,511
NO,263
OP,962
NO,242
OP,416
NO,447
OP,304
NO,295
OP,495
NO,784
OP,3
NO,357
OP,674
NO,325
OP,857
NO,267
OP,693
NO,184
OP,182
NO,133
OP,311
NO,427
OP,329
NO,307
OP,483
NO,185
OP,415
NO,142
OP,248
NO,194
OP,405
NO,230
OP,271
NO,292
OP,442
NO,405
OP,247
NO,51
OP,260
NO,247
OP,218
NO,173
OP,728
NO,252
OP,325
NO,213
OP,387
NO,265
OP,510
NO,238
OP,485
NO,357
OP,437
NO,226
OP,327
NO,410
OP,420
NO,169
OP,287
NO,180
OP,533
NO,265
OP,651
NO,357
OP,694
NO,194
OP,310
NO,335
OP,727
NO,259
OP,387
NO,277
OP,479
NO,133
OP,633
NO,266
OP,734
NO,380
OP,453
NO,197
OP,275
NO,244
OP,282
NO,342
OP,98
NO,364
OP,360
NO,325
OP,324
NO,150
OP,332
NO,420
OP,650
NO,188
OP,252
NO,295
OP,380
NO,103
OP,179
NO,378
OP,62
NO,206
OP,843
NO,254
OP,218
NO,341
OP,506
NO,310
OP,671
NO,213
OP,752
NO,197
OP,317
NO,440
NO,351
OP,467
NO,237
OP,503
NO,214
OP,274
NO,222
OP,406
NO,260
OP,347
NO,337
OP,862
NO,519
OP,635
NO,167
OP,241
NO,302
OP,551
NO,155
OP,668
NO,229
OP,716
NO,217
OP,437
NO,281
OP,266
NO,322
OP,712
NO,339
OP,156
NO,212
OP,284
NO,202
OP,432
NO,402
OP,528
NO,175
OP,283
NO,303
OP,419
NO,316
OP,384
NO,299
OP,587
NO,331
OP,407
NO,339
OP,589
NO,595
OP,518
NO,302
OP,447
NO,379
OP,338
NO,163
OP,331
NO,281
OP,624
NO,345
OP,8
NO,487
OP,561
NO,306
OP,328
NO,422
OP,670
NO,187
OP,261
NO,284
OP,262
NO,48
OP,24
NO,196
OP,412
NO,289
OP,415
NO,236
OP,467
NO,184
OP,384
NO,241
OP,261
NO,219
OP,301
NO,542
OP,271
NO,626
OP,424
NO,365
OP,835
NO,466
OP,626
NO,286
OP,371
NO,289
OP,512
NO,587
OP,610
NO,297
OP,312
NO,301
OP,717
NO,292
OP,212
NO,360
OP,551
NO,318
OP,241
NO,233
OP,415
NO,58
OP,89
NO,1006
NO,309
OP,259
NO,558
OP,307
NO,229
OP,329
NO,258
OP,352
NO,222
OP,641
NO,340
OP,559
NO,198
OP,328
NO,852
OP,550
NO,322
OP,385
NO,385
OP,398
NO,157
OP,331
NO,147
OP,603
NO,276
OP,315
NO,276
OP,951
NO,398
OP,447
NO,305
OP,798
NO,168
OP,486
NO,65
OP,107
NO,391
OP,651
NO,250
OP,735
NO,434
OP,701
NO,259
OP,1064
NO,256
OP,411
NO,457
OP,520
NO,603
OP,591
NO,201
OP,271
NO,215
OP,281
NO,319
OP,602
NO,381
OP,578
NO,735
OP,320
NO,504
OP,315
NO,364
OP,577
NO,282
OP,412
NO,233
OP,343
NO,370
OP,453
NO,691
OP,164
NO,173
OP,289
NO,235
OP,342
NO,248
OP,465
NO,441
OP,303
NO,239
OP,367
NO,310
OP,756
NO,537
OP,387
NO,248
OP,632
NO,248
OP,341
NO,146
OP,300
NO,815
OP,382
,426324
